TotalInfection,Duration
100,24
100,21
100,24
99,24
100,21
100,23
100,21
100,21
100,19
100,21
100,22
100,20
100,22
100,20
100,20
100,20
100,19
100,19
100,25
100,25
100,23
100,24
100,21
100,19
99,24
100,21
100,21
100,20
100,20
100,21
100,20
100,20
100,23
100,20
100,21
100,22
100,21
99,21
100,21
100,19
100,21
99,26
100,20
100,23
100,20
100,23
100,20
100,19
100,19
100,23
100,21
99,21
100,19
100,23
100,20
100,22
100,21
100,21
99,23
100,21
100,20
100,22
99,22
100,20
100,20
100,23
100,21
100,23
100,24
100,21
100,22
100,25
100,19
100,25
100,21
100,21
100,20
100,21
100,22
100,22
100,20
100,24
100,20
100,20
99,19
100,21
100,19
100,20
100,28
99,22
100,19
100,21
100,20
100,20
100,20
100,20
99,21
99,21
100,21
100,20
100,21
100,21
99,22
100,22
99,24
100,19
100,19
100,22
100,22
100,20
100,20
100,20
100,21
100,22
100,21
100,21
100,19
100,22
100,19
100,20
99,21
100,20
100,19
100,22
100,20
99,20
100,22
100,22
100,20
100,22
100,19
100,21
100,21
99,19
100,20
99,19
100,20
99,22
100,20
100,20
100,22
99,20
100,22
100,20
99,18
99,23
99,21
100,21
100,23
100,21
98,21
100,19
100,20
100,22
100,21
100,22
100,20
100,22
100,21
100,25
100,20
100,25
100,20
100,19
100,25
100,20
100,20
100,19
100,20
100,23
100,21
100,20
100,19
100,20
100,20
100,22
100,21
100,19
100,20
99,23
100,25
100,21
100,19
100,21
100,21
100,20
99,22
100,22
100,22
100,26
100,23
99,19
100,20
100,21
100,24
100,23
100,22
100,23
100,21
100,20
100,23
100,24
100,20
100,21
100,19
100,22
100,25
100,21
100,22
100,21
100,22
100,19
100,21
100,22
100,20
100,22
100,21
100,19
100,21
100,19
100,19
100,24
99,24
100,24
100,21
99,20
100,20
100,21
100,21
100,22
100,21
100,22
99,22
100,21
100,20
100,20
100,20
100,22
100,21
100,20
100,22
100,21
100,19
100,23
100,18
100,20
100,19
100,21
100,19
100,21
100,22
100,21
100,22
99,20
99,27
100,20
100,23
100,20
100,20
100,21
100,22
100,21
100,22
100,22
100,19
99,25
100,20
100,22
99,19
100,22
99,19
100,25
100,23
100,21
100,21
100,19
100,20
100,22
100,20
100,21
100,23
100,25
100,21
100,25
100,21
100,20
100,21
100,20
100,22
100,23
100,22
100,21
100,20
100,21
100,20
100,21
100,21
100,22
100,19
99,20
100,20
100,21
100,20
98,22
100,19
99,23
100,21
99,20
100,20
100,21
100,22
100,19
100,23
100,23
99,24
100,22
100,20
100,20
100,21
100,19
100,20
99,21
100,20
100,24
100,19
100,21
100,20
100,25
100,20
100,24
100,22
100,21
100,20
100,20
98,23
100,20
100,26
100,19
100,21
100,19
100,20
100,21
100,20
100,20
100,20
100,20
100,19
100,21
99,21
99,20
100,22
100,19
100,21
100,19
100,20
100,21
100,19
100,22
100,25
100,20
100,30
100,23
100,21
100,19
99,23
100,20
100,20
100,21
100,20
100,20
1,8
100,24
100,20
100,18
100,19
100,21
100,19
100,22
100,19
100,21
100,22
100,22
100,19
100,22
100,22
100,22
100,22
100,20
100,19
100,21
98,20
99,19
100,22
100,20
100,22
99,21
100,23
100,21
100,21
100,22
100,20
100,21
100,22
100,24
100,19
100,21
100,23
100,19
100,19
100,22
100,24
100,23
99,22
100,21
99,24
100,21
100,23
100,19
100,20
100,21
100,21
100,23
100,20
100,20
100,19
100,23
100,22
100,24
100,22
100,22
100,20
100,20
100,20
100,19
100,19
100,22
100,20
100,20
100,23
100,21
100,19
100,22
100,21
100,21
100,20
100,20
100,21
100,22
100,22
100,22
100,23
100,21
100,20
100,19
100,21
100,21
100,19
100,22
100,21
99,20
100,19
100,20
100,25
100,22
100,22
100,22
100,19
100,24
100,26
99,24
100,21
100,22
100,19
100,21
100,22
100,19
100,21
100,21
100,19
100,20
100,22
100,22
100,22
100,21
100,21
100,22
100,20
99,25
100,21
100,21
99,20
100,21
100,20
100,19
100,19
100,22
100,23
100,21
100,27
100,24
100,21
100,19
100,21
99,20
100,21
100,21
100,20
100,22
100,20
100,21
100,19
100,23
100,22
100,20
100,21
100,21
100,20
100,25
100,23
99,19
100,18
100,27
100,21
100,20
100,21
100,21
100,20
100,24
100,20
100,20
100,20
99,22
100,22
100,20
100,22
100,25
100,20
100,20
100,22
100,21
100,21
100,21
100,22
99,18
99,22
100,18
100,21
100,21
100,23
100,21
100,20
100,22
100,21
100,19
100,21
100,20
100,21
100,18
100,20
99,20
100,21
100,21
100,18
100,20
100,23
100,20
100,22
100,22
99,23
100,22
100,21
100,22
100,21
100,23
100,20
100,24
100,19
100,20
100,21
100,20
100,21
100,23
100,20
100,21
100,21
100,19
100,21
100,20
100,24
100,21
99,21
100,21
98,21
100,21
99,22
99,21
100,21
100,21
100,22
99,21
100,20
100,19
100,23
100,18
100,21
99,18
100,22
100,20
100,21
100,20
100,23
100,21
99,21
100,24
99,25
100,20
100,21
98,24
100,20
100,19
100,20
100,20
100,21
100,19
100,20
100,22
99,20
100,21
100,20
100,21
100,21
100,19
100,20
100,23
100,19
100,19
100,21
100,21
100,21
100,20
100,21
100,22
100,20
100,21
100,23
99,20
100,23
100,20
100,23
100,20
100,21
100,19
100,19
100,19
100,22
100,24
100,22
100,20
100,20
100,20
100,20
100,19
100,19
100,20
100,21
100,21
100,21
100,20
100,21
100,20
100,22
99,22
100,25
100,23
100,21
100,21
99,19
100,19
99,27
100,21
100,19
100,20
100,21
100,22
100,21
99,22
100,24
100,19
100,22
99,22
100,21
100,20
98,19
100,23
100,21
99,26
100,22
100,19
100,22
100,20
100,18
99,20
99,22
100,21
100,25
99,21
100,20
100,23
100,22
100,21
100,23
100,21
100,19
99,21
100,21
100,19
100,21
98,20
100,25
100,22
100,22
100,22
100,21
100,19
100,21
100,21
99,23
100,22
100,23
100,18
100,23
100,22
100,19
100,19
100,22
99,20
100,24
100,23
100,22
100,23
100,20
100,21
100,23
100,22
100,20
100,19
100,21
100,21
100,21
100,23
100,21
100,22
100,21
100,23
100,20
100,19
100,21
100,22
100,22
99,23
100,21
100,20
100,23
100,22
100,19
99,19
100,23
100,20
99,23
98,23
100,21
100,23
100,23
100,19
100,20
100,20
100,24
100,23
100,21
100,20
99,21
100,19
100,20
100,22
100,20
100,20
100,21
100,21
100,22
100,19
100,21
100,19
100,19
100,21
100,23
100,21
100,23
99,22
99,20
100,21
99,20
100,21
100,19
100,22
100,22
100,19
100,22
100,21
100,22
100,19
100,20
100,22
100,21
100,21
100,24
99,22
99,22
100,20
100,23
100,24
100,21
100,20
100,20
99,19
100,20
100,24
100,21
100,23
100,21
100,22
100,20
100,20
99,20
100,21
99,24
100,22
98,22
100,22
100,22
100,21
100,19
100,21
100,20
100,22
100,22
99,20
100,21
100,22
100,21
99,22
100,19
100,21
100,21
100,21
99,19
100,26
100,27
100,25
99,21
100,20
100,23
100,20
100,21
100,21
100,20
98,20
100,25
100,23
99,20
100,20
100,21
100,20
100,23
100,21
99,21
100,21
100,20
100,19
100,22
100,24
100,20
100,22
99,23
100,20
100,22
100,21
100,20
100,20
100,22
100,24
100,22
100,20
100,25
100,21
100,25
100,19
100,21
100,19
99,23
100,22
100,20
100,22
100,24
100,23
100,22
100,21
100,24
100,21
100,20
100,21
100,20
100,19
100,22
100,22
100,18
100,22
100,23
100,20
100,22
100,19
100,22
100,22
100,20
100,22
100,22
100,21
100,20
100,21
100,24
99,20
100,21
100,23
100,22
100,20
100,21
99,20
100,20
100,21
100,21
99,24
100,19
100,20
100,19
100,21
100,21
100,21
100,23
100,19
100,20
100,21
100,22
100,21
100,23
100,20
100,22
100,19
100,21
100,23
100,23
100,22
100,22
99,23
100,21
100,20
100,25
100,20
100,22
100,20
100,23
100,20
99,19
100,22
100,20
99,20
100,22
100,21
99,20
100,21
99,22
100,23
99,21
100,22
100,20
100,21
100,22
100,22
100,20
100,21
100,22
100,22
100,19
100,20
100,20
100,20
100,22
100,20
100,20
100,21
100,21
100,20
100,23
99,18
100,19
100,22
99,21
100,20
100,20
100,20
100,22
100,19
100,23
100,19
100,21
100,20
100,21
100,21
100,20
100,22
100,22
100,20
100,21
100,19
100,20
98,21
100,20
100,20
100,20
99,21
100,23
100,19
100,19
100,19
100,20
100,21
99,23
100,19
99,22
100,23
100,21
100,21
99,22
100,22
99,19
100,21
100,22
99,21
99,23
100,24
100,21
100,21
100,20
100,23
100,19
100,23
100,23
100,21
100,19
100,19
100,22
100,20
99,20
100,20
100,19
100,21
100,20
100,20
100,21
99,23
100,20
100,21
100,23
100,23
100,27
99,23
100,21
100,21
100,20
100,19
100,20
100,22
100,22
100,21
100,21
100,20
100,19
100,21
100,18
100,24
100,23
100,24
100,20
100,21
99,20
100,19
100,21
100,22
100,20
100,19
100,21
100,21
100,22
100,21
100,21
100,21
100,20
100,20
100,20
100,19
100,21
100,19
100,21
100,27
100,20
100,22
100,19
100,20
100,19
100,21
100,19
100,20
100,18
100,19
100,20
100,19
100,20
100,23
100,20
100,21
100,23
100,21
100,20
100,22
100,20
100,22
100,21
100,23
99,22
100,21
100,21
100,31
100,21
100,20
100,21
100,22
100,21
100,21
100,22
100,22
100,22
100,21
100,19
100,19
100,23
100,22
100,20
100,19
100,20
100,21
100,22
100,22
100,23
100,21
99,23
100,20
100,25
100,23
100,21
100,23
100,20
100,22
100,20
100,19
100,21
100,20
99,21
100,25
100,21
100,20
100,19
100,22
100,20
100,21
99,20
100,21
100,22
1,8
100,19
100,22
100,21
100,23
100,20
100,23
100,20
100,20
100,21
100,21
100,25
100,20
100,30
100,24
99,23
100,20
100,22
99,19
100,21
100,21
100,21
100,20
100,24
100,24
100,21
100,21
100,20
100,21
100,21
100,20
100,20
100,21
100,23
100,20
100,22
100,19
100,25
100,25
100,20
100,21
100,20
100,22
100,21
100,23
100,21
100,23
100,21
100,22
100,24
100,23
100,25
100,22
100,20
100,24
100,23
100,21
100,20
100,22
100,19
100,22
99,24
100,22
98,23
100,20
100,21
100,20
100,21
100,19
99,20
100,21
100,24
100,20
100,20
100,23
100,23
100,20
100,19
100,20
100,21
100,22
100,25
100,20
100,25
100,20
100,23
100,20
99,23
100,20
100,19
100,22
100,21
100,20
100,24
100,21
100,21
100,19
100,22
100,19
100,22
100,23
100,20
100,22
100,21
100,18
100,20
100,22
100,21
98,21
100,23
100,21
100,24
100,21
100,20
100,22
100,21
100,21
100,21
99,19
100,21
100,18
100,21
100,20
100,19
100,21
100,18
100,23
100,22
100,23
100,21
100,18
100,22
100,20
100,18
100,25
100,20
100,20
100,26
100,22
100,21
100,18
100,21
100,23
100,21
100,19
100,23
100,20
100,20
100,22
100,20
100,22
98,22
100,21
99,24
100,21
100,20
100,21
99,20
100,20
99,23
100,20
100,19
100,24
100,20
100,27
100,21
99,20
100,21
100,24
100,20
100,22
100,20
100,22
100,24
100,22
99,20
100,20
100,21
100,21
100,19
99,20
100,19
100,21
100,21
100,20
100,20
100,20
100,19
100,20
100,21
100,20
99,20
100,19
99,21
100,20
100,20
100,22
100,21
100,21
100,21
100,20
100,20
100,23
99,21
100,21
100,22
100,25
100,21
100,22
100,23
100,20
100,22
100,20
100,21
100,21
100,22
100,21
100,23
100,20
100,25
100,22
100,22
100,21
100,22
100,21
100,19
99,23
100,20
99,22
100,22
100,20
100,22
100,22
100,19
100,20
100,20
100,23
100,20
99,22
100,19
100,22
100,21
100,22
100,20
100,21
100,22
100,22
100,21
100,20
100,20
100,22
100,19
100,21
100,19
100,20
100,20
100,23
100,20
100,22
100,24
100,22
99,22
99,20
100,19
100,20
100,23
100,19
100,23
100,23
100,22
100,19
100,22
100,20
100,22
100,21
100,21
100,20
100,22
100,20
100,21
100,20
100,21
100,21
100,24
100,21
100,22
100,22
100,23
100,19
100,21
100,20
100,21
100,20
100,20
100,23
100,22
100,20
100,18
100,21
100,22
100,19
100,19
98,20
100,20
100,20
100,20
99,21
100,19
100,21
100,22
99,24
100,22
100,21
100,21
100,21
99,22
100,20
100,25
100,20
100,22
100,19
100,23
100,22
100,20
100,20
100,21
99,23
100,25
100,22
99,21
100,20
100,20
100,18
100,20
99,23
100,20
100,20
100,21
100,22
100,21
100,22
100,22
100,20
100,18
99,19
100,22
100,20
100,20
100,20
100,23
99,20
100,21
100,21
100,20
100,21
100,23
100,20
100,22
99,19
100,20
99,21
100,21
100,21
100,22
100,21
99,20
100,23
100,20
100,19
100,20
99,24
100,21
100,22
100,20
100,21
99,20
100,24
100,22
100,25
100,21
100,25
100,20
100,21
100,21
100,19
100,22
100,20
99,21
100,19
100,20
100,20
100,21
100,20
100,23
100,22
100,20
99,20
100,19
100,21
100,21
100,21
99,22
100,23
100,20
100,21
100,20
100,24
100,20
100,20
99,19
100,20
99,22
100,20
100,18
100,18
100,24
99,20
100,20
99,22
100,19
99,19
100,20
99,21
100,20
100,23
100,21
100,18
100,20
100,22
100,21
100,21
100,26
100,22
100,23
100,21
100,20
100,20
100,24
100,23
100,21
100,20
100,24
100,21
100,21
100,25
100,20
100,17
100,25
100,21
100,22
100,20
100,21
100,23
100,20
100,19
100,21
100,20
99,20
100,21
99,20
100,22
100,22
100,22
100,23
100,19
100,21
99,19
100,23
100,21
100,19
100,20
100,24
99,19
100,19
100,20
100,20
100,21
100,20
100,21
100,21
100,23
100,20
100,21
100,20
100,19
100,26
100,21
100,23
99,22
100,22
100,20
99,21
100,21
100,18
100,22
99,19
100,24
100,19
99,22
100,20
100,20
100,19
100,19
100,20
100,23
100,20
100,20
99,20
100,24
100,25
100,21
100,19
100,19
100,22
100,21
100,19
100,22
100,22
100,24
98,20
100,18
100,22
99,19
100,20
100,21
100,25
100,22
100,22
100,22
100,20
99,21
100,22
100,22
100,19
100,22
100,22
100,20
100,23
100,22
100,21
100,23
100,20
99,21
100,24
100,22
100,20
100,22
100,25
100,22
99,22
99,28
100,19
100,21
100,21
100,20
100,21
100,21
100,18
100,22
99,19
100,22
100,20
100,20
100,24
100,21
100,21
100,20
100,21
100,23
100,24
100,20
100,20
100,20
100,21
100,18
99,20
99,21
100,20
100,24
100,25
100,21
99,22
100,20
100,21
100,23
100,22
100,21
100,21
100,20
100,21
100,18
100,22
100,21
100,23
100,20
100,20
100,22
100,20
100,23
100,21
100,20
100,20
100,23
100,24
100,23
100,20
100,23
100,22
100,19
100,20
100,22
100,20
100,21
100,21
100,23
100,22
100,19
100,19
100,21
100,21
100,21
99,21
100,23
100,23
100,20
100,23
100,18
100,20
100,21
100,20
100,21
100,19
100,23
100,23
100,22
100,19
100,19
100,21
100,21
100,24
100,19
100,23
100,21
100,20
100,23
100,21
99,20
100,24
100,20
100,25
100,19
99,21
100,20
100,24
99,19
100,22
100,21
100,22
100,20
100,20
100,21
100,20
100,22
100,20
100,20
100,21
100,23
100,19
100,21
100,23
100,19
100,23
100,21
100,20
100,21
100,21
99,21
100,23
100,20
100,21
100,21
100,22
100,21
100,21
100,25
99,22
100,20
100,22
100,23
100,22
100,21
100,19
100,22
100,21
100,21
100,22
100,20
100,21
100,20
100,21
100,22
100,20
100,21
100,21
100,20
100,24
100,23
100,22
100,21
100,21
100,21
100,20
100,20
100,21
100,21
100,21
100,22
99,22
100,22
100,22
99,21
100,21
100,21
99,20
100,21
100,21
100,22
100,24
100,23
100,24
100,22
100,21
100,21
100,21
100,20
100,20
100,24
100,18
99,20
100,21
100,21
100,22
100,22
100,20
100,21
100,20
100,23
99,22
100,20
100,24
100,20
100,21
100,23
100,19
100,20
99,22
100,20
100,20
100,23
100,19
99,20
100,22
100,24
100,20
100,21
100,20
100,23
100,23
100,21
99,21
100,21
99,22
100,23
100,20
100,22
100,22
100,25
100,22
100,20
100,21
100,19
100,21
100,20
100,20
100,20
100,22
100,22
100,20
100,20
100,20
100,20
100,22
99,21
100,22
100,20
100,23
100,21
100,28
100,19
100,19
100,24
99,18
100,20
100,22
100,22
100,21
100,22
100,22
100,21
99,21
100,23
100,20
100,20
100,20
100,24
100,18
100,21
100,21
100,21
100,22
100,21
100,21
100,20
100,21
100,23
100,20
100,24
99,20
100,20
99,27
100,21
100,21
99,18
100,21
100,23
100,20
100,22
100,23
100,19
99,22
100,21
100,22
100,20
100,22
100,21
100,22
100,21
100,23
100,24
100,22
100,24
100,25
100,22
100,19
100,19
100,20
100,19
100,24
100,21
100,22
100,20
100,21
100,19
100,26
100,20
99,21
100,21
100,21
100,19
100,18
100,23
100,21
100,21
100,21
100,20
99,20
100,22
100,22
100,20
100,20
100,20
99,21
100,20
100,21
100,22
100,19
100,25
100,20
100,22
100,23
100,20
99,20
100,22
100,18
100,22
100,21
100,22
100,22
100,21
100,22
100,19
100,19
100,22
100,21
100,20
100,21
100,21
100,20
100,20
100,20
100,19
100,22
100,25
100,21
100,21
100,26
98,21
100,24
100,23
100,20
100,21
100,21
100,24
100,19
100,22
99,23
100,21
100,21
100,23
100,19
100,20
99,20
100,21
100,23
100,21
100,20
100,22
100,21
100,19
100,21
100,22
100,21
100,21
100,21
100,21
100,21
100,25
100,21
100,19
100,22
100,19
99,19
99,21
99,24
100,22
100,25
100,21
100,20
100,21
100,20
100,20
100,21
100,21
100,21
100,19
100,20
100,24
100,21
100,20
99,20
100,24
98,22
100,22
100,21
100,25
98,21
100,22
100,20
100,21
100,20
100,20
100,19
99,21
100,22
100,23
100,21
100,20
100,21
100,20
100,21
100,20
100,21
99,20
100,22
100,21
100,19
100,24
100,20
100,22
100,21
100,20
100,21
100,20
100,20
100,21
100,21
100,19
100,20
100,18
100,20
100,20
100,22
100,21
100,21
99,21
100,22
100,20
100,19
100,21
100,22
100,22
100,20
100,22
100,20
100,20
100,20
100,22
100,23
100,19
100,25
100,22
100,20
100,20
99,19
100,20
100,23
100,20
100,20
100,20
100,21
100,19
100,22
100,23
100,23
100,20
100,22
100,21
100,19
100,22
100,19
100,22
100,20
100,21
100,21
100,19
100,24
100,21
100,20
100,22
100,19
100,21
100,18
100,22
100,21
100,20
100,20
100,22
100,23
100,23
100,20
99,21
100,22
100,22
100,22
100,20
100,19
100,22
100,25
99,21
100,23
100,22
100,21
100,19
100,20
100,21
100,21
99,19
99,19
100,26
100,20
100,22
100,21
100,23
100,22
100,24
100,19
99,19
100,22
99,23
100,22
99,22
100,20
99,22
100,23
100,19
99,23
100,20
99,20
99,23
100,24
100,20
100,21
100,21
100,26
100,21
100,22
100,20
100,22
100,21
99,22
99,21
100,22
100,19
99,22
100,21
100,21
100,24
100,24
100,22
100,22
100,19
100,19
100,19
100,21
100,19
100,22
100,21
100,20
100,22
100,19
100,20
100,23
100,20
100,21
100,23
100,23
99,20
99,19
100,21
100,18
